[0 1 2 1] ['addr', 1, 3, 3] [0 1 2 2] [0 1 2 1]
[0 1 2 1] ['addi', 1, 3, 3] [0 1 2 4] [0 1 2 1]
[0 1 2 1] ['mulr', 1, 3, 3] [0 1 2 1] [0 1 2 1]
[0 1 2 1] ['muli', 1, 3, 3] [0 1 2 3] [0 1 2 1]
[0 1 2 1] ['banr', 1, 3, 3] [0 1 2 1] [0 1 2 1]
[0 1 2 1] ['bani', 1, 3, 3] [0 1 2 1] [0 1 2 1]
[0 1 2 1] ['borr', 1, 3, 3] [0 1 2 1] [0 1 2 1]
[0 1 2 1] ['bori', 1, 3, 3] [0 1 2 3] [0 1 2 1]
[0 1 2 1] ['setr', 1, 3, 3] [0 1 2 1] [0 1 2 1]
[0 1 2 1] ['seti', 1, 3, 3] [0 1 2 1] [0 1 2 1]
[0 1 2 1] ['gtir', 1, 3, 3] [0 1 2 0] [0 1 2 1]
[0 1 2 1] ['gtri', 1, 3, 3] [0 1 2 0] [0 1 2 1]
[0 1 2 1] ['gtrr', 1, 3, 3] [0 1 2 0] [0 1 2 1]
6

[3 2 2 3] ['addr', 2, 1, 3] [3 2 2 4] [3 2 2 1]
[3 2 2 3] ['addi', 2, 1, 3] [3 2 2 3] [3 2 2 1]
[3 2 2 3] ['mulr', 2, 1, 3] [3 2 2 4] [3 2 2 1]
[3 2 2 3] ['muli', 2, 1, 3] [3 2 2 2] [3 2 2 1]
[3 2 2 3] ['banr', 2, 1, 3] [3 2 2 2] [3 2 2 1]
[3 2 2 3] ['bani', 2, 1, 3] [3 2 2 0] [3 2 2 1]
[3 2 2 3] ['borr', 2, 1, 3] [3 2 2 2] [3 2 2 1]
[3 2 2 3] ['bori', 2, 1, 3] [3 2 2 3] [3 2 2 1]
[3 2 2 3] ['setr', 2, 1, 3] [3 2 2 2] [3 2 2 1]
[3 2 2 3] ['seti', 2, 1, 3] [3 2 2 2] [3 2 2 1]
[3 2 2 3] ['gtir', 2, 1, 3] [3 2 2 0] [3 2 2 1]
[3 2 2 3] ['gtri', 2, 1, 3] [3 2 2 1] [3 2 2 1]
[3 2 2 3] ['gtrr', 2, 1, 3] [3 2 2 0] [3 2 2 1]

[2 2 2 2] ['addr', 2, 1, 0] [4 2 2 2] [1 2 2 2]
[2 2 2 2] ['addi', 2, 1, 0] [3 2 2 2] [1 2 2 2]
[2 2 2 2] ['mulr', 2, 1, 0] [4 2 2 2] [1 2 2 2]
[2 2 2 2] ['muli', 2, 1, 0] [2 2 2 2] [1 2 2 2]
[2 2 2 2] ['banr', 2, 1, 0] [2 2 2 2] [1 2 2 2]
[2 2 2 2] ['bani', 2, 1, 0] [0 2 2 2] [1 2 2 2]
[2 2 2 2] ['borr', 2, 1, 0] [2 2 2 2] [1 2 2 2]
[2 2 2 2] ['bori', 2, 1, 0] [3 2 2 2] [1 2 2 2]
[2 2 2 2] ['setr', 2, 1, 0] [2 2 2 2] [1 2 2 2]
[2 2 2 2] ['seti', 2, 1, 0] [2 2 2 2] [1 2 2 2]
[2 2 2 2] ['gtir', 2, 1, 0] [0 2 2 2] [1 2 2 2]
[2 2 2 2] ['gtri', 2, 1, 0] [1 2 2 2] [1 2 2 2]
[2 2 2 2] ['gtrr', 2, 1, 0] [0 2 2 2] [1 2 2 2]

[0 1 0 3] ['addr', 1, 0, 2] [0 1 1 3] [0 1 1 3]
[0 1 0 3] ['addi', 1, 0, 2] [0 1 1 3] [0 1 1 3]
[0 1 0 3] ['mulr', 1, 0, 2] [0 1 0 3] [0 1 1 3]
[0 1 0 3] ['muli', 1, 0, 2] [0 1 0 3] [0 1 1 3]
[0 1 0 3] ['banr', 1, 0, 2] [0 1 0 3] [0 1 1 3]
[0 1 0 3] ['bani', 1, 0, 2] [0 1 0 3] [0 1 1 3]
[0 1 0 3] ['borr', 1, 0, 2] [0 1 1 3] [0 1 1 3]
[0 1 0 3] ['bori', 1, 0, 2] [0 1 1 3] [0 1 1 3]
[0 1 0 3] ['setr', 1, 0, 2] [0 1 1 3] [0 1 1 3]
[0 1 0 3] ['seti', 1, 0, 2] [0 1 1 3] [0 1 1 3]
[0 1 0 3] ['gtir', 1, 0, 2] [0 1 1 3] [0 1 1 3]
[0 1 0 3] ['gtri', 1, 0, 2] [0 1 1 3] [0 1 1 3]
[0 1 0 3] ['gtrr', 1, 0, 2] [0 1 1 3] [0 1 1 3]
9

[0 1 0 3] ['addr', 3, 1, 3] [0 1 0 4] [0 1 0 0]
[0 1 0 3] ['addi', 3, 1, 3] [0 1 0 4] [0 1 0 0]
[0 1 0 3] ['mulr', 3, 1, 3] [0 1 0 3] [0 1 0 0]
[0 1 0 3] ['muli', 3, 1, 3] [0 1 0 3] [0 1 0 0]
[0 1 0 3] ['banr', 3, 1, 3] [0 1 0 1] [0 1 0 0]
[0 1 0 3] ['bani', 3, 1, 3] [0 1 0 1] [0 1 0 0]
[0 1 0 3] ['borr', 3, 1, 3] [0 1 0 3] [0 1 0 0]
[0 1 0 3] ['bori', 3, 1, 3] [0 1 0 3] [0 1 0 0]
[0 1 0 3] ['setr', 3, 1, 3] [0 1 0 3] [0 1 0 0]
[0 1 0 3] ['seti', 3, 1, 3] [0 1 0 3] [0 1 0 0]
[0 1 0 3] ['gtir', 3, 1, 3] [0 1 0 1] [0 1 0 0]
[0 1 0 3] ['gtri', 3, 1, 3] [0 1 0 1] [0 1 0 0]
[0 1 0 3] ['gtrr', 3, 1, 3] [0 1 0 1] [0 1 0 0]

[0 1 2 1] ['addr', 1, 2, 2] [0 1 3 1] [0 1 0 1]
[0 1 2 1] ['addi', 1, 2, 2] [0 1 3 1] [0 1 0 1]
[0 1 2 1] ['mulr', 1, 2, 2] [0 1 2 1] [0 1 0 1]
[0 1 2 1] ['muli', 1, 2, 2] [0 1 2 1] [0 1 0 1]
[0 1 2 1] ['banr', 1, 2, 2] [0 1 0 1] [0 1 0 1]
[0 1 2 1] ['bani', 1, 2, 2] [0 1 0 1] [0 1 0 1]
[0 1 2 1] ['borr', 1, 2, 2] [0 1 3 1] [0 1 0 1]
[0 1 2 1] ['bori', 1, 2, 2] [0 1 3 1] [0 1 0 1]
[0 1 2 1] ['setr', 1, 2, 2] [0 1 1 1] [0 1 0 1]
[0 1 2 1] ['seti', 1, 2, 2] [0 1 1 1] [0 1 0 1]
